rsi_period,rsi_overbought,rsi_oversold,atr_tp,atr_sl,total_profit,win_rate,max_drawdown
14,70,30,4,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,75,20,2,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,20,2,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,20,2,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,20,3,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,20,3,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,20,3,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,20,4,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,20,4,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,20,4,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,2,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,2,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,2,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,3,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,3,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,3,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,4,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,4,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,25,4,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,2,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,2,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,2,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,3,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,3,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,3,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,4,1.5,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,4,2.0,-0.012109999999999843,0.25,-0.012109999981475994
14,75,30,4,2.5,-0.012109999999999843,0.25,-0.012109999981475994
14,80,20,2,1.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,20,2,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,20,2,2.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,20,3,1.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,20,3,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,20,3,2.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,20,4,1.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,20,4,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,20,4,2.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,25,2,1.5,-0.004850000000000021,0.0,-0.004849999997531995
